Customer_ID,Name,Order_Frequency,Average_Time_Between_Orders,Lowest_Time_Between_Orders,has_peak,has_knife,has_pivot
C0087,Grayson Hill,2,210,200,1,0,0
C0088,Madeline Lee,3,160,55,1,1,1
C0089,Luke Harris,4,100,30,1,1,0
C0090,Willow Nelson,1,N/A,N/A,1,0,1
C0091,Gabriel Carter,2,230,230,0,1,1
C0092,Lydia Martin,3,110,45,1,0,1
C0093,Lincoln Adams,1,N/A,N/A,1,1,1
C0094,Eden Baker,4,150,60,1,1,0
C0095,Connor Green,1,N/A,N/A,1,0,0
C0096,Piper White,2,220,200,1,1,0
C0097,Asher Mitchell,3,140,70,1,0,1
C0098,Elena Campbell,4,80,20,0,1,1
C0099,Jeremiah Phillips,1,N/A,N/A,1,1,1
C0100,Lucy Evans,2,200,190,0,1,0
C0101,Easton Roberts,3,120,40,1,1,1
C0102,Adeline Parker,1,N/A,N/A,1,0,1
C0103,Hudson Turner,4,140,45,1,1,0
C0104,Delilah Edwards,2,210,210,1,0,1
C0105,Miles Collins,1,N/A,N/A,1,1,1
C0106,Addison Sanchez,3,100,30,0,1,1
C0107,Nathan Stewart,4,130,40,1,0,0
C0108,Kinsley Morris,1,N/A,N/A,0,1,1
C0109,Eli Rogers,2,200,180,1,1,1
C0110,Mackenzie Reed,3,180,90,1,0,1
C0111,Ezra Cook,4,90,30,1,1,0
C0112,Valentina Morgan,1,N/A,N/A,0,0,1
C0113,Cameron Rivera,2,220,220,1,1,1
C0114,Genevieve Peterson,3,160,65,1,0,1
C0115,Sawyer Bailey,4,100,20,1,1,1
C0116,Lucy Cox,1,N/A,N/A,1,0,0
C0117,Carson Howard,2,205,200,1,1,0
C0118,Sienna Richardson,3,110,50,0,1,1
C0119,Xavier Perry,1,N/A,N/A,1,1,1
C0120,Emery Ward,4,150,60,1,0,1
C0121,Everett Brooks,1,N/A,N/A,0,1,0
C0122,Hadley Diaz,2,230,210,1,1,1
C0123,Cooper Wood,3,130,50,1,0,0
C0124,Amaya Nguyen,4,90,25,1,1,1
C0125,Roman Gray,1,N/A,N/A,1,0,1
C0126,Josephine Gomez,2,200,180,0,1,0
C0127,Angel Bennett,3,180,95,1,1,1
C0128,Kendall Ross,4,140,60,1,0,1
C0129,Maverick Price,1,N/A,N/A,0,0,1
C0130,Julia Foster,2,240,230,1,1,0
C0131,Max Perry,3,100,30,1,0,1
C0132,Hadley Bell,4,70,20,1,1,1
C0133,Jonah Murphy,1,N/A,N/A,1,1,0
C0134,Sloane Cooper,2,225,225,0,1,1
C0135,Beckett King,3,120,40,1,1,1
C0136,Lola Torres,4,95,30,1,0,1
C0137,Elliot Ramirez,1,N/A,N/A,1,0,0
C0138,Brynlee Bailey,2,190,180,0,1,0
C0139,Jude Walker,3,110,45,1,1,0
C0140,Myla Allen,4,100,25,1,0,1
C0141,Weston Hernandez,1,N/A,N/A,1,1,1
C0142,Adalyn Scott,2,210,210,1,0,0
C0143,Rhett Wright,3,150,75,1,1,1
C0144,Adrian Thomas,4,80,20,1,1,0
C0145,Joseph Young,1,N/A,N/A,0,0,1
C0146,Makenna Hill,2,210,210,1,1,1
C0147,Beau Harris,3,160,80,1,0,1
C0148,Ayla Nelson,4,110,35,1,1,1
C0149,Archer Carter,1,N/A,N/A,1,0,0
C0150,Peyton Martin,2,240,240,0,1,0
C0151,Raegan Adams,3,170,90,1,1,1
C0152,Declan Baker,4,140,50,1,1,0
C0153,Emerson Green,1,N/A,N/A,1,1,1
C0154,Alina White,2,190,180,1,0,1
C0155,Gavin Mitchell,3,130,55,1,1,0
C0156,Tatum Campbell,4,100,20,1,0,1
C0157,Jayden Phillips,1,N/A,N/A,0,1,1
C0158,Kinley Evans,2,200,200,1,1,0
C0159,Beckham Roberts,3,160,60,1,0,1
C0160,Anaya Parker,4,150,55,1,1,1
C0161,Rowan Turner,1,N/A,N/A,1,0,0
C0162,Caden Edwards,2,220,205,0,1,1
C0163,Nova Collins,3,110,40,1,1,0
C0164,Clay Sanchez,4,90,30,1,0,1
C0165,Mira Stewart,1,N/A,N/A,0,1,0
C0166,Emiliano Morris,2,210,200,1,1,1
C0167,Gwendolyn Rogers,3,150,65,1,0,1
C0168,Hugo Reed,4,130,50,0,1,1
C0169,Hattie Cook,1,N/A,N/A,1,1,1
C0170,Arlo Morgan,2,200,190,1,0,0
C0171,Zuri Rivera,3,100,30,1,1,1
C0172,Malachi Peterson,4,80,20,1,1,0
C0173,Kamila Bailey,1,N/A,N/A,0,1,1
C0174,Sawyer Richardson,2,210,210,1,0,1
C0175,Hallie Perry,3,180,90,1,1,1
C0176,Declan Ward,4,120,40,1,1,0
C0177,Mariah Brooks,1,N/A,N/A,1,0,0
C0178,Colton Diaz,2,220,210,0,1,1
C0179,Amora Wood,3,160,70,1,0,1
C0180,Jasper Nguyen,4,140,60,1,1,1
C0181,Keira Gray,1,N/A,N/A,1,0,1
C0182,Enzo Gomez,2,240,220,1,1,0
C0183,Mallory Bennett,3,110,45,1,1,1
C0184,Wren Ross,4,90,20,1,0,1
C0185,Ronan Price,1,N/A,N/A,0,1,1
C0186,Celeste Foster,2,210,210,1,0,0
C0187,Kade Perry,3,100,30,1,1,0
C0188,Matteo Bell,4,60,20,1,1,1
C0189,Mina Murphy,1,N/A,N/A,1,0,0
C0190,Emiliana Cooper,2,230,210,1,1,1
C0191,Jay Wood,3,120,40,0,1,1
C0192,Evie King,4,140,50,1,0,1
C0193,Raylan Torres,1,N/A,N/A,1,1,0
C0194,Haven Ramirez,2,210,210,1,0,1
C0195,August Bailey,3,170,80,1,1,1
C0196,Ophelia Walker,4,80,20,1,1,0
C0197,Boden Allen,1,N/A,N/A,1,0,1
C0198,Noa Hernandez,2,200,190,0,1,1
C0199,Skylar Scott,3,100,35,1,1,0
C0200,Hendrix Wright,4,120,30,1,0,1
